location_id,place_name,category,google_rating,entry_fee
77,Trek to Ganji Pahari,Adventure & Outdoor Activities,4.0,5000
77,Dalai Lama Temple,Religious & Spiritual Pilgrimages,4.7,0
77,Khajjiar Lake,Natural Landscapes & Wildlife,4.5,0
78,Hot springs at Manikaran,Adventure & Outdoor Activities,4.7,30
78,Vaishno Devi Temple,Religious & Spiritual Pilgrimages,4.6,0
78,Hamta Pass,Adventure & Outdoor Activities,4.5,0
78,Tirthan valley,Natural Landscapes & Wildlife,4.7,0
78,Chandrakhani Pass,Adventure & Outdoor Activities,4.3,0
78,Lama Dugh Hike,Adventure & Outdoor Activities,4.7,1200
78,Cycling from Manu Temple,Adventure & Outdoor Activities,4.6,0
78,Rafting in river Beas,Adventure & Outdoor Activities,4.5,450
78,Paragliding in Kullu hills,Adventure & Outdoor Activities,4.7,2500
78,Great Himalayan National Park,Natural Landscapes & Wildlife,4.5,50
79,Naini Lake,Natural Landscapes & Wildlife,4.2,0
79,Sunrise at Tiffin top,Natural Landscapes & Wildlife,4.5,0
79,Shop at Tibetan market,Shopping & Markets,4.2,0
79,Corbett National Park,Natural Landscapes & Wildlife,4.4,560
79,Cave garden,Natural Landscapes & Wildlife,4.3,60
79,Nainital zoo,Natural Landscapes & Wildlife,4.3,50
